scenario,sample,replicate,regolith_pct,vermicompost_pct,mycorrhiza,light_hours,dark_days_continuous,radiation_msv_day,gravity_g,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,ph,perchlorate_ppm,glass_fines_pct,transpiration_index,xylem_geometry_risk,dark_lethality_index,xylem_embolism_risk,toxicity_index,dry_root_g,dry_shoot_g,seed_weight_g,slakes,biomass_g,total_seed,height_cm,survival,mortality_probability
simulated_lunar_3,LRS25+,2,25.0,75.0,1.0,4.0,3.0,2.10898,0.16667,127.72766,36.47363,180.4097,6.76736,49.20062,7.62336,1.22141,0.78572,0.05665,1.0,0.46244,5.06,7.24,0.27,0.5,0.0,0.0,0.1068,0.0159,0.5633
simulated_lunar_4,LRS25+,2,25.0,75.0,1.0,0.0,10.0,2.04311,0.16667,123.47288,48.6548,204.15469,6.88793,48.34824,5.81982,1.10135,0.83546,0.7773,0.99248,0.40413,5.06,7.24,0.27,0.5,0.0,0.0,0.0658,0.0098,0.98
simulated_lunar_5,LRS25+,2,25.0,75.0,1.0,12.0,14.0,1.24264,0.16667,115.25062,41.62627,169.56026,7.14223,26.87145,7.64696,1.32273,0.66273,0.99087,0.98179,0.37943,5.06,7.24,0.27,0.5,0.0,0.0,0.2103,0.0399,0.98
simulated_lunar_6,LRS25+,2,25.0,75.0,1.0,12.0,7.0,1.09655,0.16667,130.37539,36.1533,168.75769,6.79843,74.09592,5.11763,1.16532,0.48687,0.5775,0.7707,0.47923,5.06,7.24,0.27,0.5,0.0401,0.0043,0.2673,0.0384,0.8843
simulated_lunar_7,LRS25+,2,25.0,75.0,1.0,8.0,14.0,0.81383,0.16667,132.14298,40.15948,207.02373,6.86181,24.33269,9.06874,1.00838,0.63799,0.98757,0.80452,0.41335,5.06,7.24,0.27,0.5,0.0,0.0,0.0771,0.0128,0.98
observed_earth_simulant,LRS25+,3,25.0,75.0,1.0,12.0,0.5,0.02,1.0,125.66579,41.33757,193.6103,6.75571,0.0,0.39484,0.84809,0.28215,0.02298,0.0,0.05706,4.48,7.16,0.0,0.54,11.64,0.0,6.8,1.0,0.0
simulated_lunar_1,LRS25+,3,25.0,75.0,1.0,4.0,7.0,0.74945,0.16667,111.0688,37.46493,203.37741,6.62598,43.77651,4.96317,1.01454,0.62574,0.4225,0.79927,0.36081,4.48,7.16,0.0,0.54,0.0,0.0,0.2061,0.0759,0.7562
simulated_lunar_2,LRS25+,3,25.0,75.0,1.0,16.0,10.0,0.63356,0.16667,124.14315,39.74102,183.56699,6.77107,16.80009,5.74755,0.92914,0.45557,0.92414,0.64743,0.28362,4.48,7.16,0.0,0.54,0.1897,0.0,0.1953,0.0642,0.98
simulated_lunar_3,LRS25+,3,25.0,75.0,1.0,4.0,3.0,1.90831,0.16667,111.97136,44.38723,162.07079,6.4606,53.07628,4.76852,1.22567,0.42632,0.05665,0.7505,0.38974,4.48,7.16,0.0,0.54,0.0103,0.0,0.038,0.0126,0.4864
simulated_lunar_4,LRS25+,3,25.0,75.0,1.0,8.0,7.0,1.64365,0.16667,105.96256,37.10896,176.98296,6.67189,16.24342,2.33406,0.96351,0.42089,0.5,0.63915,0.17723,4.48,7.16,0.0,0.54,0.0001,0.0,0.0004,0.0001,0.7352
simulated_lunar_5,LRS25+,3,25.0,75.0,1.0,16.0,3.0,0.64596,0.16667,130.50824,37.23192,205.35399,6.57641,16.36662,7.35844,1.30325,0.44838,0.13296,0.80007,0.33122,4.48,7.16,0.0,0.54,0.1982,0.0,0.1669,0.0277,0.542
simulated_lunar_6,LRS25+,3,25.0,75.0,1.0,8.0,14.0,0.32165,0.16667,124.5819,43.96441,173.04341,7.07894,28.43711,4.88252,1.00119,0.32475,0.98757,0.58975,0.30083,4.48,7.16,0.0,0.54,0.0,0.0,0.1847,0.0705,0.98
simulated_lunar_7,LRS25+,3,25.0,75.0,1.0,16.0,7.0,0.60905,0.16667,124.65879,44.68954,195.86564,6.74621,41.03038,6.24941,1.15386,0.32758,0.65135,0.64806,0.38982,4.48,7.16,0.0,0.54,0.271,0.0,0.2134,0.0586,0.889
observed_earth_simulant,LRS25+,4,25.0,75.0,1.0,12.0,0.5,0.02,1.0,120.4186,38.96355,204.25433,6.73326,0.0,1.14042,0.98725,0.36236,0.02298,0.0,0.07985,4.94,6.45,0.0,0.53,11.39,0.0,15.0,1.0,0.0
simulated_lunar_1,LRS25+,4,25.0,75.0,1.0,4.0,3.0,0.49239,0.16667,122.93161,41.37201,179.24552,6.49242,27.87051,3.94208,1.14891,0.23723,0.05665,0.5797,0.26997,4.94,6.45,0.0,0.53,5.0476,0.0,8.778,1.0,0.4197
simulated_lunar_2,LRS25+,4,25.0,75.0,1.0,12.0,3.0,0.85964,0.16667,127.27681,37.36698,171.67066,6.8092,32.28845,6.29278,1.30641,0.26145,0.10088,0.65135,0.35836,4.94,6.45,0.0,0.53,5.4161,0.0,10.2487,1.0,0.4871
simulated_lunar_3,LRS25+,4,25.0,75.0,1.0,8.0,3.0,1.51955,0.16667,115.64116,41.37582,179.83047,6.88213,43.73178,6.09565,1.14616,0.62318,0.07586,0.86256,0.39525,4.94,6.45,0.0,0.53,0.1083,0.0,0.4388,0.0557,0.5293
simulated_lunar_4,LRS25+,4,25.0,75.0,1.0,12.0,7.0,1.35184,0.16667,136.68591,42.49265,166.84454,6.57899,37.73277,7.02123,1.02338,0.86124,0.5775,0.96462,0.40104,4.94,6.45,0.0,0.53,0.0047,0.0,0.0369,0.0063,0.9172
simulated_lunar_5,LRS25+,4,25.0,75.0,1.0,16.0,7.0,0.52854,0.16667,121.72256,37.65351,217.46156,6.74251,31.86134,4.5305,0.69924,0.52654,0.65135,0.58892,0.30291,4.94,6.45,0.0,0.53,5.2654,0.0,8.9364,1.0,0.8568
simulated_lunar_6,LRS25+,4,25.0,75.0,1.0,0.0,3.0,1.03739,0.16667,132.54723,37.36991,191.90942,6.75871,44.53915,7.96138,0.94916,0.66729,0.04209,0.79402,0.45529,4.94,6.45,0.0,0.53,1.7646,0.0,6.1452,1.0,0.4999
simulated_lunar_7,LRS25+,4,25.0,75.0,1.0,16.0,3.0,2.05736,0.16667,118.09114,38.96877,182.15813,7.03638,21.23959,7.20986,1.02102,0.65672,0.13296,0.82363,0.34495,4.94,6.45,0.0,0.53,0.091,0.0,0.2175,0.022,0.5506
observed_earth_simulant,LRS25+,5,25.0,75.0,1.0,12.0,0.5,0.02,1.0,128.09231,44.57445,210.30193,6.68669,0.0,1.16052,0.99639,0.36353,0.02298,0.0,0.08046,4.1,7.0,0.08,0.56,11.1,4.0,13.0,1.0,0.0
simulated_lunar_1,LRS25+,5,25.0,75.0,1.0,0.0,10.0,1.85303,0.16667,103.48876,38.70374,194.698,6.48671,30.38743,8.78803,1.38498,0.30079,0.7773,0.71107,0.42748,4.1,7.0,0.08,0.56,0.0,0.0,0.1582,0.0354,0.98
simulated_lunar_2,LRS25+,5,25.0,75.0,1.0,0.0,7.0,1.13926,0.16667,128.50016,37.91245,171.10199,6.8185,25.90593,5.98431,1.19209,0.73218,0.34865,0.96749,0.325,4.1,7.0,0.08,0.56,0.0,0.0,0.2586,0.0624,0.7379
simulated_lunar_3,LRS25+,5,25.0,75.0,1.0,4.0,3.0,0.77403,0.16667,118.65218,33.03956,192.75332,6.75,18.499,6.5571,0.98387,0.67656,0.05665,0.81798,0.31473,4.1,7.0,0.08,0.56,0.005,0.0011,0.0138,0.0024,0.4882
simulated_lunar_4,LRS25+,5,25.0,75.0,1.0,12.0,10.0,0.95407,0.16667,124.7391,37.52214,188.04146,6.71894,33.65171,5.60954,1.3651,0.36074,0.89912,0.75355,0.3426,4.1,7.0,0.08,0.56,0.0,0.0,0.0827,0.018,0.98
simulated_lunar_5,LRS25+,5,25.0,75.0,1.0,0.0,14.0,2.03188,0.16667,110.43978,37.05516,172.49696,6.94733,29.81759,6.07931,1.03043,0.92527,0.97702,1.0,0.34257,4.1,7.0,0.08,0.56,0.0,0.0,0.1439,0.0339,0.98
simulated_lunar_6,LRS25+,5,25.0,75.0,1.0,12.0,10.0,1.58667,0.16667,125.12289,36.80484,196.99716,6.93852,15.14587,2.21871,0.99213,0.65679,0.89912,0.80899,0.16959,4.1,7.0,0.08,0.56,0.0,0.0,0.0412,0.0086,0.98
simulated_lunar_7,LRS25+,5,25.0,75.0,1.0,8.0,10.0,1.54663,0.16667,129.70671,43.66065,180.3443,6.88617,44.8956,5.54164,1.23643,0.84299,0.86704,1.0,0.38269,4.1,7.0,0.08,0.56,0.0,0.0,0.1276,0.0323,0.98
observed_earth_simulant,LRS25+,6,25.0,75.0,1.0,12.0,0.5,0.02,1.0,121.65183,40.52764,213.04258,6.66253,0.0,0.97247,0.92092,0.37916,0.02298,0.0,0.07471,4.22,8.19,0.1,0.66,12.41,0.0,16.6,1.0,0.0
simulated_lunar_1,LRS25+,6,25.0,75.0,1.0,4.0,10.0,1.68044,0.16667,123.20962,43.15483,191.18278,6.36999,21.39684,3.40132,1.36966,0.85737,0.82671,1.0,0.22917,4.22,8.19,0.1,0.66,0.0,0.0,0.0496,0.0078,0.98
simulated_lunar_2,LRS25+,6,25.0,75.0,1.0,4.0,10.0,1.54343,0.16667,108.84162,39.86996,193.90228,6.93937,18.6803,6.96098,1.06176,0.63918,0.82671,0.83205,0.32775,4.22,8.19,0.1,0.66,0.0,0.0,0.0563,0.0094,0.98
simulated_lunar_3,LRS25+,6,25.0,75.0,1.0,16.0,3.0,1.19722,0.16667,122.88,40.92458,179.2814,6.57222,5.04222,7.60111,1.50306,0.457,0.13296,0.8917,0.29616,4.22,8.19,0.1,0.66,7.6003,0.0,10.4573,1.0,0.5579
simulated_lunar_4,LRS25+,6,25.0,75.0,1.0,4.0,3.0,1.2264,0.16667,141.77617,38.22774,180.00978,6.7821,28.23201,5.00145,1.47631,0.32645,0.05665,0.76623,0.30369,4.22,8.19,0.1,0.66,3.1011,0.0,7.5416,1.0,0.4731
simulated_lunar_5,LRS25+,6,25.0,75.0,1.0,16.0,14.0,1.50363,0.16667,104.46162,43.93716,183.0271,6.83212,33.47823,7.336,1.33313,0.82492,0.99331,1.0,0.3947,4.22,8.19,0.1,0.66,0.0,0.0,0.3338,0.0541,0.98
simulated_lunar_6,LRS25+,6,25.0,75.0,1.0,8.0,10.0,0.54497,0.16667,122.12325,36.52466,196.18668,6.98064,51.8731,5.00547,1.31744,0.74587,0.86704,1.0,0.39247,4.22,8.19,0.1,0.66,0.0,0.0,0.1506,0.027,0.98
simulated_lunar_7,LRS25+,6,25.0,75.0,1.0,12.0,10.0,1.72522,0.16667,130.38459,45.12423,186.39572,6.75864,35.76185,11.21561,1.18415,0.57848,0.89912,0.84773,0.52181,4.22,8.19,0.1,0.66,0.0,0.0,0.3456,0.0569,0.98
observed_earth_simulant,LRS25+,7,25.0,75.0,1.0,12.0,0.5,0.02,1.0,125.81712,40.87195,195.17311,6.69874,0.0,0.95638,1.08878,0.22772,0.02298,0.0,0.07422,3.36,6.93,0.02,0.39,10.29,1.0,18.2,1.0,0.0
simulated_lunar_1,LRS25+,7,25.0,75.0,1.0,0.0,14.0,1.1442,0.16667,131.05891,41.13351,191.91968,6.7546,20.18494,5.39256,1.15237,0.51565,0.97702,0.78628,0.28547,3.36,6.93,0.02,0.39,0.0,0.0,0.2602,0.0416,0.98
simulated_lunar_2,LRS25+,7,25.0,75.0,1.0,0.0,3.0,0.83714,0.16667,123.53424,36.06292,169.37617,6.57551,47.69852,0.81118,1.05905,0.32028,0.04209,0.60793,0.24866,3.36,6.93,0.02,0.39,3.5311,0.2113,9.9011,1.0,0.412
simulated_lunar_3,LRS25+,7,25.0,75.0,1.0,4.0,3.0,0.32422,0.16667,127.8975,40.73024,188.57985,6.5864,21.90772,8.80392,1.07724,0.25629,0.05665,0.5694,0.39616,3.36,6.93,0.02,0.39,4.4922,0.2866,10.7956,1.0,0.4424
simulated_lunar_4,LRS25+,7,25.0,75.0,1.0,8.0,10.0,1.18213,0.16667,125.51424,40.59093,195.13939,6.83565,33.11205,3.85818,1.16921,0.76865,0.86704,0.98231,0.28706,3.36,6.93,0.02,0.39,0.0,0.0,0.4184,0.0682,0.98
simulated_lunar_5,LRS25+,7,25.0,75.0,1.0,12.0,10.0,1.9691,0.16667,117.9348,44.09743,197.65458,6.87787,42.17689,7.04859,1.14136,0.48929,0.89912,0.76201,0.41854,3.36,6.93,0.02,0.39,0.0,0.0,0.3639,0.064,0.98
simulated_lunar_6,LRS25+,7,25.0,75.0,1.0,0.0,7.0,0.49705,0.16667,129.29279,37.6769,173.80439,6.70485,10.63137,3.26211,0.90064,0.85996,0.34865,0.89088,0.18454,3.36,6.93,0.02,0.39,1.1031,0.0396,7.493,1.0,0.6907
simulated_lunar_7,LRS25+,7,25.0,75.0,1.0,12.0,14.0,0.38735,0.16667,111.2359,39.31004,195.89535,6.71022,9.02844,5.78823,0.94042,0.62376,0.99087,0.7613,0.25572,3.36,6.93,0.02,0.39,0.0059,0.0001,0.3706,0.0536,0.98
observed_earth_simulant,LRS25+,8,25.0,75.0,1.0,12.0,0.5,0.02,1.0,129.86586,42.15884,206.31589,6.84053,0.0,0.8899,0.94708,0.35425,0.02298,0.0,0.07219,4.43,6.52,0.1,0.54,10.95,2.0,22.6,1.0,0.0
simulated_lunar_1,LRS25+,8,25.0,75.0,1.0,16.0,3.0,0.32213,0.16667,130.19917,38.073,171.71654,6.83989,41.09,8.37668,1.10571,0.40862,0.13296,0.68848,0.45504,4.43,6.52,0.1,0.54,0.2981,0.0562,0.6768,0.044,0.5389
simulated_lunar_2,LRS25+,8,25.0,75.0,1.0,12.0,14.0,0.46724,0.16667,127.97687,36.88517,185.60146,7.12331,26.44507,7.52022,1.19538,0.22687,0.99087,0.58728,0.37395,4.43,6.52,0.1,0.54,0.0331,0.0022,0.5881,0.0661,0.98
simulated_lunar_3,LRS25+,8,25.0,75.0,1.0,16.0,7.0,1.54373,0.16667,114.47053,40.2442,195.57211,6.46712,36.27381,4.00983,1.20161,0.73749,0.65135,0.97666,0.30355,4.43,6.52,0.1,0.54,0.0422,0.0046,0.3035,0.0362,0.9538
simulated_lunar_4,LRS25+,8,25.0,75.0,1.0,8.0,10.0,1.34061,0.16667,110.73567,38.50121,189.55126,6.98071,19.40986,6.93711,0.90818,0.50691,0.86704,0.67116,0.32975,4.43,6.52,0.1,0.54,0.0,0.0,0.1144,0.0157,0.98
simulated_lunar_5,LRS25+,8,25.0,75.0,1.0,4.0,10.0,0.50475,0.16667,105.79194,43.01016,193.85621,6.56762,31.37483,3.33254,0.93009,0.30098,0.82671,0.54824,0.26448,4.43,6.52,0.1,0.54,0.0,0.0,0.3703,0.0424,0.9652
simulated_lunar_6,LRS25+,8,25.0,75.0,1.0,12.0,7.0,1.61445,0.16667,104.71036,42.04458,205.06409,7.02797,41.6639,4.11513,1.07686,0.86104,0.5775,0.99626,0.32698,4.43,6.52,0.1,0.54,0.0,0.0,0.3759,0.0487,0.9103
simulated_lunar_7,LRS25+,8,25.0,75.0,1.0,8.0,10.0,1.16041,0.16667,127.02174,41.80081,179.34112,6.47899,22.66437,8.46422,1.35698,0.90163,0.86704,1.0,0.38862,4.43,6.52,0.1,0.54,0.0,0.0,0.1221,0.0161,0.98
observed_earth_simulant,LRS50-,2,50.0,50.0,0.0,12.0,0.5,0.02,1.0,84.15579,24.35528,142.55827,7.52231,0.0,1.4899,0.90765,0.27158,0.02298,0.0,0.13552,2.12,5.28,0.0,0.4,7.4,0.0,20.0,1.0,0.0
simulated_lunar_1,LRS50-,2,50.0,50.0,0.0,0.0,10.0,1.36833,0.16667,74.69872,15.77555,115.73498,7.77573,20.18642,10.4418,0.91244,0.85811,0.7773,0.8967,0.48475,2.12,5.28,0.0,0.4,0.0,0.0,0.0063,0.001,0.98
simulated_lunar_2,LRS50-,2,50.0,50.0,0.0,0.0,7.0,0.80726,0.16667,80.076,13.61602,127.25567,7.74717,63.1838,9.83115,1.11404,0.46901,0.34865,0.73542,0.62734,2.12,5.28,0.0,0.4,0.0,0.0,0.3192,0.0493,0.7404
simulated_lunar_3,LRS50-,2,50.0,50.0,0.0,16.0,14.0,0.75143,0.16667,84.57191,23.14915,109.0072,7.78075,60.61489,10.27295,0.97056,0.91753,0.99331,0.97046,0.6312,2.12,5.28,0.0,0.4,0.0,0.0,0.1633,0.025,0.98
simulated_lunar_4,LRS50-,2,50.0,50.0,0.0,16.0,14.0,1.87697,0.16667,85.61106,19.52658,117.92722,7.58154,22.27091,7.71468,1.126,0.42063,0.99331,0.70539,0.40924,2.12,5.28,0.0,0.4,0.0,0.0,0.3857,0.0546,0.98
simulated_lunar_5,LRS50-,2,50.0,50.0,0.0,12.0,3.0,1.11416,0.16667,54.62531,20.51539,127.79441,7.71741,35.09063,6.97489,1.2976,0.3161,0.10088,0.69201,0.43471,2.12,5.28,0.0,0.4,0.0,0.0,0.1876,0.0258,0.5126
simulated_lunar_6,LRS50-,2,50.0,50.0,0.0,8.0,14.0,1.80083,0.16667,72.04103,21.63823,126.15024,7.61441,56.86058,7.85251,1.07395,0.60731,0.98757,0.8157,0.54317,2.12,5.28,0.0,0.4,0.0,0.0,0.1871,0.028,0.98
simulated_lunar_7,LRS50-,2,50.0,50.0,0.0,8.0,7.0,2.10559,0.16667,70.40785,19.49288,120.78447,7.54045,31.70994,7.91615,0.97834,0.45951,0.5,0.67088,0.45079,2.12,5.28,0.0,0.4,0.0,0.0,0.3135,0.0514,0.7979
observed_earth_simulant,LRS50-,3,50.0,50.0,0.0,12.0,0.5,0.02,1.0,91.95132,25.70987,163.62347,7.64359,0.0,1.98339,1.09619,0.22395,0.02298,0.0,0.1506,2.52,5.38,0.0,0.43,7.9,0.0,22.2,1.0,0.0
simulated_lunar_1,LRS50-,3,50.0,50.0,0.0,16.0,10.0,1.27719,0.16667,65.77332,21.8099,124.98819,8.12813,38.01847,9.24953,1.44575,0.77999,0.92414,1.0,0.51519,2.52,5.38,0.0,0.43,0.0,0.0,0.3592,0.0502,0.98
simulated_lunar_2,LRS50-,3,50.0,50.0,0.0,12.0,3.0,0.6906,0.16667,87.10853,24.92568,108.31061,7.83842,25.55636,8.81514,0.98639,0.71453,0.10088,0.84465,0.45519,2.52,5.38,0.0,0.43,0.0074,0.0,0.421,0.0573,0.5548
simulated_lunar_3,LRS50-,3,50.0,50.0,0.0,8.0,3.0,1.39243,0.16667,75.86648,24.29814,117.09211,8.0325,38.1413,8.65081,0.94678,0.68107,0.07586,0.80176,0.49736,2.52,5.38,0.0,0.43,0.0,0.0,8.2615,1.0,0.5345
simulated_lunar_4,LRS50-,3,50.0,50.0,0.0,0.0,10.0,2.06329,0.16667,66.22954,26.14501,143.05133,7.82302,46.14813,8.70564,0.85775,0.49633,0.7773,0.64223,0.52906,2.52,5.38,0.0,0.43,0.0,0.0,0.2868,0.0379,0.98
simulated_lunar_5,LRS50-,3,50.0,50.0,0.0,16.0,10.0,2.12426,0.16667,82.42956,25.54904,148.33206,7.66715,38.74724,6.58338,1.26716,0.6163,0.92414,0.91692,0.43646,2.52,5.38,0.0,0.43,0.0,0.0,0.0035,0.0004,0.98
simulated_lunar_6,LRS50-,3,50.0,50.0,0.0,8.0,7.0,1.72176,0.16667,71.82809,24.26356,123.72509,7.60412,51.02431,7.31881,1.0416,0.36559,0.5,0.63286,0.50497,2.52,5.38,0.0,0.43,0.0,0.0,8.4841,1.0,0.7992
simulated_lunar_7,LRS50-,3,50.0,50.0,0.0,0.0,14.0,1.52488,0.16667,85.70111,23.9861,129.96562,7.98264,10.37626,6.11317,0.88259,0.3759,0.97702,0.57799,0.3157,2.52,5.38,0.0,0.43,0.0,0.0,0.0415,0.0056,0.98
observed_earth_simulant,LRS50-,4,50.0,50.0,0.0,12.0,0.5,0.02,1.0,93.66516,25.3426,152.1368,7.78934,0.0,2.26447,1.05371,0.24698,0.02298,0.0,0.15919,3.24,5.09,0.0,0.5,8.33,0.0,22.0,1.0,0.0
simulated_lunar_1,LRS50-,4,50.0,50.0,0.0,8.0,7.0,1.79275,0.16667,56.11868,20.98988,113.30923,7.8185,53.52952,7.73139,0.904,0.55997,0.5,0.7029,0.52697,3.24,5.09,0.0,0.5,0.0,0.0,0.4998,0.062,0.8211
simulated_lunar_2,LRS50-,4,50.0,50.0,0.0,0.0,10.0,1.93156,0.16667,81.34258,24.87514,127.92141,8.26564,45.41597,8.866,1.26267,0.2234,0.7773,0.60656,0.53122,3.24,5.09,0.0,0.5,0.0,0.0,0.2545,0.0324,0.98
simulated_lunar_3,LRS50-,4,50.0,50.0,0.0,16.0,14.0,1.54243,0.16667,76.1115,23.78128,139.63182,8.0572,28.72033,9.16869,0.97455,0.57584,0.99331,0.7464,0.47786,3.24,5.09,0.0,0.5,0.0,0.0,0.2554,0.0291,0.98
simulated_lunar_4,LRS50-,4,50.0,50.0,0.0,16.0,7.0,1.73869,0.16667,77.9948,23.36399,115.82716,7.74538,45.96695,7.69098,1.00194,0.23031,0.65135,0.52632,0.49738,3.24,5.09,0.0,0.5,0.0,0.0,0.1505,0.0185,0.88
simulated_lunar_5,LRS50-,4,50.0,50.0,0.0,16.0,10.0,1.03738,0.16667,56.19024,27.39038,117.77358,8.13018,45.52312,12.69037,1.33586,0.67518,0.92414,0.99864,0.64847,3.24,5.09,0.0,0.5,0.0,0.0,0.443,0.0594,0.98
simulated_lunar_6,LRS50-,4,50.0,50.0,0.0,12.0,10.0,1.41659,0.16667,77.58427,21.27927,129.67905,8.38662,42.9208,10.51129,1.11789,0.79449,0.89912,0.9725,0.57213,3.24,5.09,0.0,0.5,0.0,0.0,0.0038,0.0005,0.98
simulated_lunar_7,LRS50-,4,50.0,50.0,0.0,16.0,10.0,0.70188,0.16667,68.28731,23.09866,140.49856,7.82952,33.62155,8.9498,1.37616,0.74019,0.92414,1.0,0.48955,3.24,5.09,0.0,0.5,0.0,0.0,0.3249,0.0383,0.98
observed_earth_simulant,LRS50-,5,50.0,50.0,0.0,12.0,0.5,0.02,1.0,90.17618,27.08349,158.2543,7.66831,0.0,1.95146,0.98767,0.31156,0.02298,0.0,0.14963,3.58,6.05,0.0,0.27,9.629999999999999,0.0,18.8,1.0,0.0
simulated_lunar_1,LRS50-,5,50.0,50.0,0.0,0.0,7.0,0.79069,0.16667,83.58019,28.84187,117.46127,7.69945,62.67158,8.87226,0.97262,0.26431,0.34865,0.5392,0.59612,3.58,6.05,0.0,0.27,0.0,0.0,0.5753,0.0794,0.6851
simulated_lunar_2,LRS50-,5,50.0,50.0,0.0,16.0,7.0,1.80977,0.16667,69.44699,22.81427,123.12921,7.7657,31.24709,8.20416,0.88728,0.5401,0.65135,0.68265,0.45786,3.58,6.05,0.0,0.27,0.0,0.0,0.1111,0.0184,0.9112
simulated_lunar_3,LRS50-,5,50.0,50.0,0.0,16.0,14.0,1.87038,0.16667,71.05909,20.84605,143.23472,7.69312,52.89839,6.78903,1.05119,0.69454,0.99331,0.86526,0.49581,3.58,6.05,0.0,0.27,0.0,0.0,0.3,0.0431,0.98
simulated_lunar_4,LRS50-,5,50.0,50.0,0.0,12.0,14.0,1.00372,0.16667,71.46186,25.54914,133.97385,7.89629,65.49872,8.98204,0.87905,0.64179,0.99087,0.74219,0.61007,3.58,6.05,0.0,0.27,0.0,0.0,0.3603,0.0609,0.98
simulated_lunar_5,LRS50-,5,50.0,50.0,0.0,12.0,7.0,2.02916,0.16667,84.3406,24.03653,121.08125,7.8081,63.58589,8.61338,1.26865,0.58982,0.5775,0.89681,0.59163,3.58,6.05,0.0,0.27,0.0,0.0,0.0963,0.0164,0.9383
simulated_lunar_6,LRS50-,5,50.0,50.0,0.0,12.0,10.0,0.79648,0.16667,75.43467,18.23006,126.51918,7.37706,12.44709,7.42076,1.12297,0.61408,0.89912,0.84449,0.36342,3.58,6.05,0.0,0.27,0.0,0.0,0.1079,0.0143,0.98
simulated_lunar_7,LRS50-,5,50.0,50.0,0.0,16.0,10.0,1.77097,0.16667,71.50226,22.97673,133.96284,7.77396,43.60266,11.96849,1.12858,0.58126,0.92414,0.82335,0.61921,3.58,6.05,0.0,0.27,0.0,0.0,0.3689,0.0641,0.98
observed_earth_simulant,LRS50-,6,50.0,50.0,0.0,12.0,0.5,0.02,1.0,88.42347,24.81975,169.79777,7.77484,0.0,1.56146,0.92003,0.2341,0.02298,0.0,0.13771,0.99,1.46,0.0,0.26,2.45,0.0,23.1,1.0,0.0
simulated_lunar_1,LRS50-,6,50.0,50.0,0.0,8.0,7.0,1.00459,0.16667,76.91831,18.26968,117.80862,8.03348,34.52379,7.58642,0.92707,0.92265,0.5,0.94688,0.45127,0.99,1.46,0.0,0.26,0.0,0.0,0.4319,0.0619,0.867
simulated_lunar_2,LRS50-,6,50.0,50.0,0.0,16.0,10.0,0.67002,0.16667,77.02505,18.49518,124.72176,7.58797,34.42586,6.82248,0.77426,0.26513,0.92414,0.47167,0.42756,0.99,1.46,0.0,0.26,0.0,0.0,0.2372,0.032,0.98
simulated_lunar_3,LRS50-,6,50.0,50.0,0.0,0.0,3.0,2.04644,0.16667,56.96273,17.40422,124.07893,7.60354,33.78011,6.38609,1.32079,0.36972,0.04209,0.74383,0.41181,0.99,1.46,0.0,0.26,0.0,0.0,6.964,1.0,0.4786
simulated_lunar_4,LRS50-,6,50.0,50.0,0.0,4.0,14.0,1.26185,0.16667,66.17245,20.72218,126.79333,7.93425,29.72962,8.37125,0.73936,0.38761,0.98309,0.52875,0.45727,0.99,1.46,0.0,0.26,0.0,0.0,0.2338,0.0302,0.98
simulated_lunar_5,LRS50-,6,50.0,50.0,0.0,12.0,14.0,2.0034,0.16667,71.64838,24.22676,119.5077,7.84035,54.23418,8.83941,0.92672,0.72588,0.99087,0.82017,0.56347,0.99,1.46,0.0,0.26,0.0,0.0,0.2836,0.033,0.98
simulated_lunar_6,LRS50-,6,50.0,50.0,0.0,8.0,7.0,0.84585,0.16667,64.29476,24.95809,121.66205,8.06303,45.77831,10.06364,1.09612,0.33709,0.5,0.63352,0.56917,0.99,1.46,0.0,0.26,0.0,0.0,0.5584,0.0744,0.8122
simulated_lunar_7,LRS50-,6,50.0,50.0,0.0,4.0,10.0,0.69288,0.16667,85.24382,22.665,138.69827,7.76439,34.97105,12.02402,1.30145,0.70686,0.82671,1.0,0.58854,0.99,1.46,0.0,0.26,0.0,0.0,0.3463,0.0491,0.98
observed_earth_simulant,LRS50-,7,50.0,50.0,0.0,12.0,0.5,0.02,1.0,83.46497,27.3092,139.27433,7.71678,0.0,2.40196,0.92709,0.29853,0.02298,0.0,0.16339,3.11,6.1,0.0,0.23,9.209999999999999,0.0,14.8,1.0,0.0
simulated_lunar_1,LRS50-,7,50.0,50.0,0.0,16.0,10.0,1.05597,0.16667,75.00446,20.42823,117.57602,7.81622,43.8465,8.30952,0.845,0.78193,0.92414,0.81037,0.50833,3.11,6.1,0.0,0.23,0.0,0.0,0.043,0.0096,0.98
simulated_lunar_2,LRS50-,7,50.0,50.0,0.0,4.0,14.0,1.40392,0.16667,88.00056,20.1138,144.70775,7.83463,58.1241,8.68228,1.25257,0.65981,0.98309,0.94369,0.57326,3.11,6.1,0.0,0.23,0.0,0.0,0.2001,0.0399,0.98
simulated_lunar_3,LRS50-,7,50.0,50.0,0.0,12.0,10.0,1.15639,0.16667,54.92998,18.37664,121.38495,7.51232,35.8906,4.94935,0.71665,0.34705,0.89912,0.49731,0.37582,3.11,6.1,0.0,0.23,0.0,0.0,0.3006,0.0591,0.98
simulated_lunar_4,LRS50-,7,50.0,50.0,0.0,4.0,10.0,1.79213,0.16667,69.63032,20.80778,144.6664,7.66641,34.66492,8.24315,0.99103,0.81036,0.82671,0.91132,0.47187,3.11,6.1,0.0,0.23,0.0,0.0,0.2518,0.0504,0.98
